pkey,id,date,security,asset,liability
1,9,2002-03-31,35605,348727,321479
2,9,2002-06-30,39440,361953,332900
3,9,2002-09-30,37081,383246,352456
4,9,2002-12-31,34957,371812,340365
5,14,2002-03-31,3700000,68600000,64300000
6,14,2002-06-30,3680000,73600000,69200000
7,14,2002-09-30,3790000,72800000,68200000
8,14,2002-12-31,3660000,79600000,74500000
9,28,2002-03-31,0,14340,7948
10,28,2002-06-30,0,12049,5354
11,28,2002-09-30,0,12474,5543
12,35,2002-03-31,106002,471056,438541
13,35,2002-06-30,125282,492046,457116
14,35,2002-09-30,139065,503401,467080
15,35,2002-12-31,138784,502674,465464
16,39,2002-03-31,6071,201681,181030
17,39,2002-06-30,6171,203754,182287
18,39,2002-09-30,6133,205211,182742
19,39,2002-12-31,6105,206140,183912
20,41,2002-03-31,8708,104151,89245
21,41,2002-06-30,4321,102762,86479
22,41,2002-09-30,3992,103010,87811
23,41,2002-12-31,3049,106843,91449
24,43,2002-03-31,1265,12825,11364
25,46,2002-03-31,4968,127777,118695
26,46,2002-06-30,5204,130399,120878
27,46,2002-09-30,4626,129784,119658
28,46,2002-12-31,4372,128275,117949
29,47,2002-03-31,38222,320233,288646
30,47,2002-06-30,37846,322005,287473
31,47,2002-09-30,26218,323461,286549
32,47,2002-12-31,25809,320762,283157
33,49,2002-03-31,1064,25901,24318
34,49,2002-06-30,1000,25290,23594
35,49,2002-09-30,884,25741,23896
36,49,2002-12-31,740,25514,23619
37,50,2002-03-31,6146,84522,78312
38,50,2002-06-30,6377,83925,77597
39,50,2002-09-30,7046,81589,75038
40,50,2002-12-31,6735,82827,75962
41,51,2002-03-31,4410,94495,85935
42,51,2002-06-30,4030,95749,87000
43,51,2002-09-30,3523,97691,88811
44,51,2002-12-31,2925,101322,92319
45,52,2002-03-31,20292,131257,109771
46,52,2002-06-30,19432,135584,111909
47,52,2002-09-30,18000,148009,122353
48,52,2002-12-31,15562,145860,120137
49,53,2002-03-31,2926,149638,136242
50,53,2002-06-30,2658,162623,148591
51,53,2002-09-30,4475,164935,150592
52,53,2002-12-31,3789,164985,152547
53,54,2002-03-31,14304,165527,148710
54,54,2002-06-30,13232,167180,149293
55,54,2002-09-30,13904,173658,154981
56,54,2002-12-31,9355,171751,152937
57,57,2002-03-31,86753,685789,633161
58,57,2002-06-30,93623,570254,512636
59,57,2002-09-30,105988,575370,519695
60,57,2002-12-31,107534,565400,510771
61,58,2002-03-31,21078,221269,200115
62,58,2002-06-30,21114,222899,201045
63,58,2002-09-30,28167,231477,208795
64,58,2002-12-31,25390,231055,207735
65,59,2002-03-31,83,107820,92290
66,59,2002-06-30,77,108757,92611
67,59,2002-09-30,72,111314,94572
68,59,2002-12-31,56,115812,99133
69,60,2002-03-31,4817,122738,107244
70,60,2002-06-30,4100,115138,99867
71,60,2002-09-30,5030,114012,98108
72,60,2002-12-31,4633,119947,104117
73,63,2002-03-31,1896,21876,18833
74,68,2002-03-31,215,54499,46709
75,68,2002-06-30,174,55838,47961
76,68,2002-09-30,152,55697,47489
77,68,2002-12-31,126,54941,46586
78,70,2002-03-31,1204,48082,43179
79,70,2002-06-30,1818,50982,45922
80,70,2002-09-30,2735,60442,55205
81,70,2002-12-31,4677,65475,60237
82,72,2002-03-31,8581,114731,101447
83,72,2002-06-30,9969,113682,99532
84,72,2002-09-30,9380,117605,102557
85,72,2002-12-31,8801,116861,101703
86,77,2002-03-31,605,205399,180807
87,77,2002-06-30,551,215514,190328
88,77,2002-09-30,510,211957,186171
89,77,2002-12-31,436,217706,191765
90,81,2002-03-31,1662,118027,100943
91,81,2002-06-30,1509,121327,103567
92,81,2002-09-30,2309,124029,105695
93,81,2002-12-31,7068,126576,109490
94,85,2002-03-31,666,33878,31022
95,85,2002-06-30,540,32949,30197
96,85,2002-09-30,341,30319,27500
97,85,2002-12-31,146,28586,25987
98,86,2002-03-31,1165,29767,26460
99,86,2002-06-30,3199,30192,26737
100,86,2002-09-30,4123,30373,26730
101,86,2002-12-31,3906,31304,27391
102,88,2002-03-31,552,41338,37731
103,88,2002-06-30,517,40992,37134
104,88,2002-09-30,488,40245,36285
105,88,2002-12-31,449,39544,35542
106,89,2002-03-31,2808,85021,77144
107,89,2002-06-30,2487,84616,76287
108,89,2002-09-30,1981,82212,73624
109,89,2002-12-31,1087,89518,80729
110,90,2002-03-31,0,142467,129899
111,90,2002-06-30,0,146405,133276
112,90,2002-09-30,0,152210,138474
113,90,2002-12-31,0,155992,142027
114,91,2002-03-31,0,59431,55157
115,91,2002-06-30,0,90758,80034
116,91,2002-09-30,0,99503,88576
117,91,2002-12-31,0,101535,90672
118,92,2002-03-31,3480,125530,113762
